filename, language, C#, XML, JSON, aspnetcorerazor, PowerShell, comment, blank, total
c:\GOVMEETING\_SOURCECODE\BackEnd\Configuration_Lib\AppSettings.cs, C#, 21, 0, 0, 0, 0, 0, 2, 23
c:\GOVMEETING\_SOURCECODE\BackEnd\Configuration_Lib\Configuration_Lib.csproj, XML, 0, 5, 0, 0, 0, 0, 3, 8
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseAccess_Lib\ApplicationDbContext.cs, C#, 31, 0, 0, 0, 0, 6, 7, 44
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseAccess_Lib\ApplicationUser.cs, C#, 12, 0, 0, 0, 0, 1, 2, 15
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseAccess_Lib\DatabaseAccess_Lib.csproj, XML, 0, 14, 0, 0, 0, 0, 5, 19
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseAccess_Lib\dBOperations.cs, C#, 100, 0, 0, 0, 0, 107, 23, 230
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseAccess_Tests\DatabaseAccess_Tests.csproj, XML, 0, 14, 0, 0, 0, 0, 5, 19
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseAccess_Tests\DbCreateTests.cs, C#, 174, 0, 0, 0, 0, 34, 27, 235
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseModel_Lib\Category.cs, C#, 13, 0, 0, 0, 0, 6, 2, 21
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseModel_Lib\Citizen.cs, C#, 11, 0, 0, 0, 0, 3, 2, 16
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseModel_Lib\DatabaseModel_Lib.csproj, XML, 0, 5, 0, 0, 0, 0, 3, 8
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseModel_Lib\GovernmentBody.cs, C#, 20, 0, 0, 0, 0, 3, 2, 25
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseModel_Lib\Language.cs, C#, 13, 0, 0, 0, 0, 0, 2, 15
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseModel_Lib\Meeting.cs, C#, 25, 0, 0, 0, 0, 7, 4, 36
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseModel_Lib\Official.cs, C#, 13, 0, 0, 0, 0, 4, 2, 19
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseModel_Lib\Representative.cs, C#, 11, 0, 0, 0, 0, 1, 2, 14
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseModel_Lib\Speaker.cs, C#, 13, 0, 0, 0, 0, 3, 2, 18
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseModel_Lib\Talk.cs, C#, 17, 0, 0, 0, 0, 3, 2, 22
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseModel_Lib\Topic.cs, C#, 16, 0, 0, 0, 0, 3, 2, 21
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseModel_Lib\TopicDiscussion.cs, C#, 16, 0, 0, 0, 0, 0, 2, 18
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseRepositories_Lib\DatabaseRepositories_Lib.csproj, XML, 0, 9, 0, 0, 0, 0, 4, 13
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseRepositories_Lib\GovBodies\GovBodyRepository.cs, C#, 21, 0, 0, 0, 0, 0, 4, 25
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseRepositories_Lib\GovBodies\GovBodyRepository_Stub.cs, C#, 43, 0, 0, 0, 0, 0, 4, 47
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseRepositories_Lib\GovBodies\IGovBodyRepository.cs, C#, 12, 0, 0, 0, 0, 0, 2, 14
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseRepositories_Lib\Meetings\IMeetingRepository.cs, C#, 12, 0, 0, 0, 0, 0, 2, 14
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseRepositories_Lib\Meetings\MeetingRepository.cs, C#, 23, 0, 0, 0, 0, 1, 4, 28
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\DatabaseRepositories_Lib\Meetings\MeetingRepository_Stub.cs, C#, 79, 0, 0, 0, 0, 0, 6, 85
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\LoadDatabase_Lib\LoadDatabase_Lib.csproj, XML, 0, 12, 0, 0, 0, 0, 4, 16
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\LoadDatabase_Lib\LoadTranscript.cs, C#, 54, 0, 0, 0, 0, 23, 12, 89
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\LoadDatabase_Lib\ReadTranscriptFile.cs, C#, 21, 0, 0, 0, 0, 352, 37, 410
c:\GOVMEETING\_SOURCECODE\BackEnd\Database\LoadDatabase_Lib\ReadTranscriptFile_Stub.cs, C#, 41, 0, 0, 0, 0, 17, 5, 63
c:\GOVMEETING\_SOURCECODE\BackEnd\Online\GetOnlineFiles_Lib\GetOnlineFiles_Lib.csproj, XML, 0, 5, 0, 0, 0, 0, 3, 8
c:\GOVMEETING\_SOURCECODE\BackEnd\Online\GetOnlineFiles_Lib\GetVideo.cs, C#, 7, 0, 0, 0, 0, 4, 4, 15
c:\GOVMEETING\_SOURCECODE\BackEnd\Online\GoogleCloud_Lib\GoogleBucket.cs, C#, 49, 0, 0, 0, 0, 5, 8, 62
c:\GOVMEETING\_SOURCECODE\BackEnd\Online\GoogleCloud_Lib\GoogleCloudStorage.cs, C#, 65, 0, 0, 0, 0, 151, 64, 280
c:\GOVMEETING\_SOURCECODE\BackEnd\Online\GoogleCloud_Lib\GoogleCloud_Lib.csproj, XML, 0, 15, 0, 0, 0, 0, 5, 20
c:\GOVMEETING\_SOURCECODE\BackEnd\Online\GoogleCloud_Lib\StreamTranscribe.cs, C#, 68, 0, 0, 0, 0, 84, 6, 158
c:\GOVMEETING\_SOURCECODE\BackEnd\Online\GoogleCloud_Lib\TranscribeAudio.cs, C#, 144, 0, 0, 0, 0, 14, 32, 190
c:\GOVMEETING\_SOURCECODE\BackEnd\Online\GoogleCloud_Lib\TranscribeResponse.cs, C#, 39, 0, 0, 0, 0, 4, 7, 50
c:\GOVMEETING\_SOURCECODE\BackEnd\Online\OnlineAccess_Lib\FTPOperations.cs, C#, 108, 0, 0, 0, 0, 25, 22, 155
